id,product_name,category,original_price,current_price,quantity,expiration_date,store_area,status,discount_percentage,urgency,ai_last_updated
1,Chicken Sandwich,Fast Food,120,120,20,2026-05-20T18:00:00,Nasr City,active,0.00,low,2026-05-20T12:00:00Z
2,Margherita Pizza,Pizza,180,180,12,2026-05-20T20:00:00,Heliopolis,active,0.00,medium,2026-05-20T12:00:00Z
3,Beef Burger,Fast Food,140,140,15,2026-05-20T17:00:00,Maadi,active,0.00,medium,2026-05-20T12:00:00Z
4,Orange Juice,Beverages,45,45,30,2026-05-21T01:00:00,Dokki,active,0.00,low,2026-05-20T12:00:00Z
5,Chocolate Cake,Desserts,95,95,8,2026-05-20T16:00:00,Zamalek,active,0.00,high,2026-05-20T12:00:00Z
6,Chicken Alfredo,Pasta,160,160,10,2026-05-20T21:00:00,New Cairo,active,0.00,medium,2026-05-20T12:00:00Z
7,Greek Salad,Salads,70,70,18,2026-05-20T19:00:00,Nasr City,active,0.00,low,2026-05-20T12:00:00Z
8,Turkey Sandwich,Fast Food,110,110,22,2026-05-20T15:00:00,Heliopolis,active,0.00,low,2026-05-20T12:00:00Z
9,Vanilla Donut,Bakery,35,35,40,2026-05-20T14:00:00,Maadi,active,0.00,low,2026-05-20T12:00:00Z
10,Iced Coffee,Beverages,60,60,25,2026-05-21T03:00:00,Dokki,active,0.00,low,2026-05-20T12:00:00Z
11,Cheese Croissant,Bakery,50,50,16,2026-05-20T13:00:00,Zamalek,active,0.00,low,2026-05-20T12:00:00Z
12,Chicken Caesar Wrap,Fast Food,130,130,14,2026-05-20T18:30:00,New Cairo,active,0.00,medium,2026-05-20T12:00:00Z
13,Tiramisu,Desserts,90,90,9,2026-05-20T22:00:00,Nasr City,active,0.00,medium,2026-05-20T12:00:00Z
14,BBQ Pizza,Pizza,200,200,7,2026-05-20T17:30:00,Heliopolis,active,0.00,high,2026-05-20T12:00:00Z
15,Fruit Salad,Desserts,65,65,20,2026-05-20T23:00:00,Maadi,active,0.00,low,2026-05-20T12:00:00Z
16,Chicken Shawarma,Fast Food,100,100,28,2026-05-20T16:30:00,Dokki,active,0.00,low,2026-05-20T12:00:00Z
17,Mango Smoothie,Beverages,55,55,19,2026-05-21T02:00:00,Zamalek,active,0.00,low,2026-05-20T12:00:00Z
18,Pepperoni Pizza,Pizza,210,210,11,2026-05-20T19:30:00,New Cairo,active,0.00,medium,2026-05-20T12:00:00Z
19,Red Velvet Cake,Desserts,120,120,6,2026-05-20T15:30:00,Nasr City,active,0.00,high,2026-05-20T12:00:00Z
20,Tuna Sandwich,Fast Food,95,95,17,2026-05-20T20:30:00,Heliopolis,active,0.00,low,2026-05-20T12:00:00Z
